
> gateway@1.0.0 start
> node src/server.js

gateway listening on port 3000
gateway request | id=0b41a3d3-1239-49c9-9331-305aff543d06 | GET /health | status=200 | durationMs=6 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=3cac9e1e-a6ad-4219-8530-8c388e88e2e6 | GET /metrics | status=200 | durationMs=1 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=2e2b49e7-7b36-43e3-a275-6caa0f122209 | GET /api/catalog | status=200 | durationMs=26 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c597ac22-452b-4c64-bf52-0a750d384289 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1d33f37e-b943-46f8-94a5-cfc47d21c1d9 | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=022151fc-25d6-45be-971e-2394d423b22a | GET /api/catalog | status=200 | durationMs=18 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1b2d9344-5347-4c3a-823f-49ab14fdf108 | GET /api/catalog | status=200 | durationMs=23 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a6ef3b5a-53b9-4ca4-8c67-021d19d16d89 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4f045b8f-6bfe-4b21-bea2-5ac02293392a | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fa8cf797-b519-42ee-86bd-45603aac810c | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5863d08a-4fae-4995-abf9-894ea93eed5b | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d61b3d07-98b4-49a0-a209-1ddce780dcd7 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a9d40091-8c75-4354-95b4-363b1af2e545 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7252983c-571c-47f7-92ee-ba2d7b72551a | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e47a2164-948b-4d76-9d64-0c03143bf3e0 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d7959964-4645-4655-b98f-b51c716e7805 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9d393f0e-ebcb-4c6f-9f7e-8e9fb77d44cd | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bbfd13be-2a02-4525-893c-dbb9962c7da6 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=26b89723-4d9c-4d6a-a8bd-fd1c3182c640 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=dfbae509-04e6-4291-8c05-95ff04d9fe4c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=050e049b-cb21-4faa-a78d-f103e941eb2b | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0af07203-adeb-463b-8730-a9e48e1757b2 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ffc3afab-8493-4e6e-82bc-9892e90359c9 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9d6b8a2b-7f51-44a0-9d1a-0cac105450ea | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=734e864e-7cf5-44cc-ad78-58354e861186 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d1b09ff1-09b7-4d2d-84a0-5ef7d83032f8 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=df88db70-813c-45f2-b950-9a9dd8709122 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=caa69f89-e309-4354-b77d-4cd2736f638f | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fbfdea87-e246-487b-86f3-92e42f557ab4 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b4e33d7b-0491-42b7-b761-0c587ebe5d4b | GET /health | status=200 | durationMs=0 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=875787a6-7035-4e65-9da3-aa53aa9795c6 | GET /api/catalog | status=200 | durationMs=36 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fbadbae3-fa21-4e5c-b36b-b57944edd9f8 | GET /api/catalog | status=200 | durationMs=30 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=62a4e772-2b9f-4816-bb4b-b131e83e6e95 | GET /api/catalog | status=200 | durationMs=21 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d79b2de0-e4e4-4a4e-ab18-c5d943f41504 | GET /api/catalog | status=200 | durationMs=28 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4cf011c2-f9c9-46f7-b826-1db7a0a618b4 | GET /api/catalog | status=200 | durationMs=31 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=da0ca0b5-e5c2-417e-a64e-e1e95b4c6ae1 | GET /api/catalog | status=200 | durationMs=111 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=052ac53e-58d7-4269-a6a9-f4fa47bfc13b | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=30372f6b-f2b9-476a-90ae-00144ab0a025 | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c9628b96-1ba1-42f4-92b6-821278d0424e | GET /api/catalog | status=200 | durationMs=23 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7f68ab98-8ffe-49ab-8ca5-db2d77885331 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=20c68797-61f0-4203-a09a-68f640621a79 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=afb9ab13-dbe8-4428-ae8c-991ae516a494 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=effaaf98-e490-49c7-af5a-a4147507bbee | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2522ed0c-56b6-4ba6-a162-be0c3fef786a | GET /metrics | status=200 | durationMs=0 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=48775c7d-430c-4c3a-a264-1904fb33d9ca | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b0ae35bd-3b84-43bc-a31c-5cc5a41f88cb | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
