
> catalog@1.0.0 start
> node src/server.js

catalog cache disabled
catalog listening on port 3001
catalog request | id=58b2c405-e85c-4b51-aa7f-dc54e6293d95 | GET /health | status=200 | durationMs=4 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=3c966bfe-77d9-4413-b398-e17882121771 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=b7aed42c-e42a-4546-8197-41c052b4cc73 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=90b19a7a-7989-4fa2-9607-82495394dba9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=84550543-9ecd-474b-9706-55b39a5f3ac9 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3b569428-dfa6-4a34-bcea-ed679ad03d20 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2f9bbdd3-e40c-4362-b861-dc33d023f462 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=af8121e2-5a61-4174-ba9f-26f43d0e9d7f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=603bbb40-b2e0-40ab-a316-f94346534974 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=29495d7e-e585-4df7-8dc5-c170ed51cfd3 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6b9567a9-ba7c-4b0e-a391-29872bd0b2c4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fcc95d6c-b8a6-426a-bfd3-6f266febf7c4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9df3821b-e0f9-4c02-a702-bb45e840ea92 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fb60ffee-ea5f-4311-a0da-982a443431e2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=06bacaeb-d9d5-4246-94dc-75bc1ba99e20 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0d292966-b859-4a47-bce7-bdf76b7a3969 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6606b635-dc91-434d-a392-fb58702f083e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=50cd9c72-3a3a-4fdc-9b38-0bd2c9e16cb2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=088ec537-47db-43a3-816c-332130f28bd8 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a4bb16cc-af55-4679-a1e2-78a04eb96b02 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=125227dc-7f9b-48bc-9619-d037e5a247bc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1c3d26fb-65b6-4603-b5b0-ddc2568c2930 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=359958d0-450a-4c05-901a-6e881227c149 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d6cc7225-7e0d-4af8-94b0-e8dbaf2ed1c1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0a505fac-1d78-486e-ba20-bff5d5ddef35 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d273bfdd-389a-4fe6-8491-bc9390499d9c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=602ffeb6-74de-4840-9436-7103c175f88e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4181c5df-aaab-4927-9041-1595e6e0fc63 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0bae42ca-9ddf-4a73-a6cd-ec72071ed1cf | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9c665692-6b1b-4886-918d-b5d2ab7c7fb6 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=74a21ab5-99e2-4b80-8659-f32d10c149cb | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=83bf8413-6e2c-4c67-9a17-d0355e20b813 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=285b5400-208c-472f-bdb2-ff0e660f4ec1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7d640b90-a493-4a80-b637-c962334d42db | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4e08400f-52db-419d-a524-c6b5e2530675 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a631ec67-eedd-47d0-acd0-071c12821d9b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=056273fb-4886-4909-877c-18b8981ef9ad | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4af3f9da-4fe5-4599-97cb-235aa57ba577 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=efa8e38c-9285-467c-92b4-45c3ce987f50 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6432f0d0-50bd-4cb4-a135-ee17af18d202 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e8625a0d-a676-4801-9859-7594ecb534ae | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=82839f34-05fd-46e6-9fb2-92ab9588cd01 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b6e3f0e8-321b-478d-afe0-533e5857d8fa | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c02523a1-865d-475e-8f49-bfeb2c54b034 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d74b6ef3-2154-4601-826a-9d456c3f829c | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=30e429df-704e-42b1-b735-85231db1b3c5 | GET /catalog | status=200 | durationMs=20 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5ddf6a6c-b8f9-4666-86dc-50b41c0b616f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=11d48d01-860c-4b87-ac63-bf8a8b390686 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f3ff8f2d-4598-44ea-97bd-6b7b7ae3bc9c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5e13e71d-2461-455c-b7a9-2bdb6f5d783f | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fba151c9-5121-4f0c-924d-3db65a433af4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6f4e577f-2e7a-4b4e-92be-d920052c05fe | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=91805129-6a0a-4619-940b-7da0d98adc75 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=51004aca-c993-4c38-9e91-62994cc42af3 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0d0abca4-2231-4e06-8ef6-c75596c6861c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=611ecf47-f2d0-4c43-ab40-2bdbf08a7ee9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d4a7b50e-329d-4525-a0a4-12f93fc52266 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d65621a1-0fca-44e9-b3c7-cc51a04bc277 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ffa6d2f3-de4d-46d7-a99d-6f661e7eeed7 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c120268b-243a-4c47-a4ed-5e8b8629e5cb | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=629b927e-6842-44b5-9df2-3a067c67785b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=26521add-ffed-40d2-9796-365eb0cd8f57 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6613ed23-6805-4a9f-842d-92a857dd0379 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=dbbb658b-0127-442d-b77f-17f85d31c3d0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e4f6d4af-b295-4f9c-b63c-007b51ebf5a8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=25fc994d-c78e-4a8f-995a-4c925cb89c41 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2c9bf80f-3d26-4d7c-9b26-b019647c0f58 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bdff9fcb-ea33-458e-8ed9-f93231f3434d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=24fc76ec-8a69-48b7-8fd6-f73eab82c73c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d08fc849-1ae6-488f-aa8d-236f16ff93d2 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1420db7c-f711-4c29-9443-13c3682d75cd | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=41a52ff7-aab9-428c-9839-8e1a1397fcd0 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=370a127f-83c6-42f5-80cf-fa6cf98ba65a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b9393960-78b9-41c3-b901-37f41ffe9b98 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8f872cb9-4aa7-41ff-a0d7-f5900999a2f7 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a63dc5a2-c324-4407-a246-983a0471e8b0 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3779a514-492e-4982-8814-355030b28abc | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e72ef990-20c1-405e-af63-18d92880669f | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=74e9f208-8453-420b-bbbc-31211a147775 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0e9094a0-6b06-43fc-89e9-950c4482f6c4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=53744a15-cdc8-4734-9b25-5fed5a40dcf5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f6495ac3-036e-4e40-8df6-72ac7d69c6b7 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8594f11e-df84-4b51-86ba-8fdc1437bda5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4107c888-28cc-458e-90fa-2bdca137d44c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b1028adc-100e-491e-8556-90d226ee1dba | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e8bac1b0-e848-4aa1-bcb4-c11b4f8630e7 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=170639e8-6473-411e-8147-f5fb84f98052 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b693b621-a2b0-4ef7-8600-d3a01b169444 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=49618f35-5a67-4352-87fe-4e93cb012340 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=16b2ab2b-9d90-4b5b-b723-00334c1f3349 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4690ce78-cadb-400c-9e40-c2d26a981b6d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d5309f1d-e2b7-42e8-b5a2-4cd5a92f0924 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3d14eedb-a8da-41a4-8aea-4afbaa144ea9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e3eecdb5-d615-4101-bfb4-87c1a515ed00 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f80de34e-26a3-436f-bdda-5415d8f2b227 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c29fad62-36aa-40ca-8823-07758b6e5b7b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=58331f32-35e8-45f1-ae80-2a9176f35a3e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=389b23de-1790-4290-98dd-17a2a031c9e9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a478bfd3-2dea-4a1c-8f83-1ae5aa6fc070 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=53751577-1927-47be-8e3b-93d80238f127 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3663ff26-d7bf-4329-ae9f-fc7a58e42ff1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=92c1855e-ef75-42ef-8693-0a4008a6c335 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=68eff118-3672-46c5-9981-59c2ba937e0a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d453ad74-d72f-45e3-8d3f-74434312f262 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e8d9acd2-d656-4a62-85bb-8433ea32aeb2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=21022da9-85af-470b-a17f-9b961ac58070 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0eda55df-1fba-483f-b5ce-4eb673375bb5 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=03027de0-ccff-4bd7-a1cc-2327085e18b2 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=55cbd052-386c-4be9-853c-62dd5115a8d9 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f148c51a-d33a-4895-a70b-a17335408418 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=385101b8-a4b2-41a1-9162-876345c95287 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=638c1ebb-8eec-4568-a587-baff39c18f4c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e49226fb-d80d-4c4a-b19d-1c5603b51a1b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=531ddd68-0c49-44c2-9b2c-edeb9e28d2a6 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a0915796-140f-46be-bd3e-47c3f8b8d74a | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d85194f1-76ff-4738-a5c8-f76d299d072f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=dcc0fc96-6fa6-4e96-be45-2b00fd2b8986 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3e16be8d-9652-4d83-8699-7b071045b86b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7fa4479b-0906-44b1-9061-41545428a17c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=473ba0a5-e949-49e0-b421-3cebf1e5ba5d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9c01b40e-99b5-46fb-bd69-487d188c67e8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8fc09641-62e2-41a9-b8ef-3247cd30c8a9 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2b6a95e6-24ef-4103-bc2c-3a6f54fbce83 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3eb728bd-1796-421a-bb40-4d13dc3e0855 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=18d1ea20-3483-4c49-972b-61a78a7c17b9 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f46e9c67-d6c0-44b5-9ad7-4c8b2ffb4d64 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c01f81cf-825f-4d19-9fe0-82007270f1e6 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fc65a26f-2687-435b-93c2-9086a9e37a08 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=696dd494-e422-44f1-a844-e4984affa1e4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=99e65de4-0259-4c06-ae37-ac2e9bea1717 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8fb64d06-2d3b-4540-bdc9-927d70e99ec1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5fa9beff-4d16-4da5-b766-db3eaf0733be | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4ac57145-3fc9-4e75-9388-64f24fa1a6fc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2542ff09-4768-4d46-9c7b-fe22aff33ce6 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f30ede7b-7ec8-4220-9601-7d9e369be1ca | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1cb9858e-6a11-42c3-b121-3a206a51e511 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d0e38f26-1067-4113-b529-644bb3c176b8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1005b88c-d940-4c60-9fa2-d3e67c52f275 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e1e7a7d6-a866-499c-bf9f-81a11f1bce26 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ec697cc3-3764-4ac0-b09c-d244fd31df1e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=11799dc8-8f74-466c-a9c1-7c3ff34f4a11 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fcb38ab9-c224-487b-ab6d-edbf593ed5e4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c9b682fb-8217-4a9e-92d4-bc10e4a6d29e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0b169f81-da07-4caa-8dce-1fe554c83b95 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e4e9c85b-4c98-4f02-87f4-d5afa22ce13e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0028d2be-6bc9-4b3f-8575-e6902ecf0567 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1a91f538-ac26-422c-b42a-419ca62526cc | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3ada64d2-a00e-455c-b5ed-3503264e2b02 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fb11398f-ed09-40ed-9b6f-9c189c5f2909 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=17093f95-1e4c-49d1-bebb-3bd560ccdfa4 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1555bb69-7d65-45e0-960f-8df04033311c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ee543d31-9da6-4d91-99a6-9735e3fa1f17 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3281e570-4d61-4735-a271-e4a396fc8dbd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e3d6efe5-5119-4a2c-aba4-869e5acd581c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=77f65d82-0706-4623-a991-80d6588b291e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=834eb54f-e435-4907-85fa-d9396661e434 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5353e536-c0ad-4420-a7da-9607ed8486b9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=76a1495b-ce57-4d2e-a5d4-8534d0092515 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=be443927-9979-41df-8bc3-bbf670f45986 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5d731e2f-33c9-4249-860d-a7ea35a6a2df | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bd3bfcba-d45c-42f4-90b5-047e38cd8ae1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fd4c2017-6a47-432c-97c4-9c7635390cd4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a8e2f9f9-de29-4464-a42d-a35a63fd2c19 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=233863b7-67bc-46eb-8800-1c5dc8ef5688 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c5b88745-ccaa-4ab8-adaf-f133900ed91d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
