catalog cache disabled
catalog listening on port 3001
catalog request | id=55c5b30a-a1e0-4f81-82e8-971ea8b9ae70 | GET /health | status=200 | durationMs=7 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=ce72e27e-2649-411b-8d09-46bc7bff1fb0 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=fd5808db-deef-4e68-ada2-8508edf39354 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75bdcdbb-2249-4457-9b9e-f6de07168177 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=54ea9793-305d-4999-b085-d957e6ef368a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=771c7d90-1c90-4127-bfa1-1d055a04b19f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8d122568-58e7-46fb-ae9b-f172f4f9f36e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c042da46-a25b-4fc6-9570-ff31e0d06383 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f89665fe-df44-4483-afbd-6d086ac29362 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=92629047-dbda-437e-82b5-8433ed7eac36 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8c8aa963-5679-4e1e-bd1a-0ea0b64044f0 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=54aafe2b-580e-44bd-8210-4fb683fa4a17 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0e35ab01-5097-4aa8-8c58-779c4bfefb7d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=80a6b905-6823-4e5a-95fe-31c34d3f66ea | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9b017899-632c-4ddf-8811-404d15dc2ae5 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d45b8072-54a7-497e-ae77-99b53b2a7b2c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
