catalog cache disabled
catalog listening on port 3001
catalog request | id=07d57902-be27-49a2-bfa4-f7fa004b584d | GET /health | status=200 | durationMs=5 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=b8cbf79f-194d-43e9-943c-028da0870731 | GET /metrics | status=200 | durationMs=0 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=b730a7dc-d952-4a15-94f3-6f7a0a5647ee | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=33e105ee-7641-4eb0-aeb4-46d6438e3040 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=144d3f5b-bd84-4909-aade-afaa00748542 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=57d61add-07c9-43b7-9622-28be65e27300 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ae6eb7d8-755d-45ed-b3b4-d7eb78796b0c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=906fb918-6e99-48ef-9173-5a978042dcd3 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e7e2d7bb-1c8c-40f7-9f7a-e7086d6349b9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=53754f01-ff4c-43cc-a45e-09b66c6d5dec | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=790c799d-5ed2-47f6-9424-a7144f3d5137 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c31caf73-468f-4880-ac5c-fe5ee7f96ed2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=73725c8b-ef45-4229-8f3b-4f28d5da4b92 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f09a64bf-4eb9-4a8e-ad63-279607cf7b3a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=004ceb8a-6f18-4758-9da7-9bdfd8ab30a8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=46d53333-a749-4f9b-84f7-38224a577bc1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0e54e469-0f8a-4cfa-819f-0b21746b4bb5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7d39f022-5a36-456f-a7d5-849e6c6cd5e9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4072aded-064c-4677-bef3-3c870afe0133 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=38157e15-8848-421c-a462-4941c971fadb | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=909d7e40-b2b4-4656-84a6-528e88130db9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e90916cf-3a31-49c0-8a09-4461b8deb024 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=da4970be-d5a2-42f8-a09c-a9a48e3a990e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ba6b8add-9b2d-4daf-8ffe-25184cf00580 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c7855a33-f2eb-444a-a677-4c1ea002d841 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a79bca8c-8057-4a77-810f-56e528b429c0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5730d6de-c94a-4470-b419-d70589c7becb | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9d67a92d-53be-4c3b-b5fb-03adf0867bc8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4ad55a72-60ed-44e3-ad6f-d62e1b92c65f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6eb9b4b8-0aa4-484e-898c-26b1a6a7c07a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=753377b9-6af4-4a3d-a281-2b6b12d6dea1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=06c890f9-23d0-4996-bc2c-e5f16ed03728 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9da8c8bd-b620-44f0-9f57-09f379cf8e1d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e37aa4ed-ddec-4d0f-8358-627c49cb91a8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6a0a2dad-eddf-41b7-bf12-c92db4a06a36 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f2fd3941-0fcf-41c4-84de-619fb3531984 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5492ddc4-9f8d-4237-9613-fcf4603d5aad | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8273fed0-a44d-4e37-af9e-82034076bcc4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8020a5fc-0bba-49f0-8788-6b970437db69 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ba08a31b-9d8e-4e5f-8f52-1fde3a622e5c | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f90b8d8b-7ed2-44bb-83cd-e98547f1a6fd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e2458c7c-7f1f-4211-be12-cf55d7fae57b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fd676cbd-1c30-4a62-a15b-f94baf60f15e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=72f925a7-45ef-4f3c-b6ed-9c6ecc28b6bc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0f79bf0e-4652-4355-9e3b-b6d78274ac3c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6623ebfa-6305-417b-b0c6-bbf07c4ee762 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=434d09f0-465c-41c7-bec0-b380364db0c2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c7475eea-88b9-4e12-8fb7-143937ef5fec | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c8df2f78-7b7b-4444-b664-8a36215c8436 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=56b68f88-f1d5-4495-969c-b62c84d27147 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=19e45df7-e3c1-44c0-944d-a7eb9f40ef74 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d945cb97-8a50-42cc-828c-d991432d086f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6528b51e-7e64-44f0-9a3b-96104b5b20ef | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=31fb895b-d00e-489b-93aa-5890d38d7d99 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e424f5da-6d2c-45d5-8dab-bcbb8b0240dd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=633426ba-94bc-4fec-b86e-a7f86cdd1ea5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b8047322-70db-472d-9806-c302e173d430 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1ea725d5-54a2-4047-b6b3-d19190cbd9ab | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b1489ef3-fea9-4f36-8664-ea1480114419 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f8c7369f-6531-4f11-b29b-742c16327aa1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=17e5b238-b3ff-451d-93fa-f914c8aae278 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=736ca84d-47a0-4e1d-bf96-03e26dedb226 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8d384631-2374-4d75-b900-17948f463e25 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d255ac0d-9e57-4c39-8d67-48ad41bb2d3a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8fd1aaf0-fce8-4c67-a64b-417b16ea1a87 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d76e78d9-82cc-42d7-8481-3f181edad87e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ffa558d3-7cc1-495e-864d-a11c91b21565 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=08b421b2-20fc-4563-9655-b7d630eacf7e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8b563047-f9d2-4a4d-b5d7-6134f33ae5bd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d242ae03-95f9-427f-a37a-023981c82fb6 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ec24d5a4-b962-490f-aa06-cdf5fcb5a341 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eabf2a7b-17e3-4bf6-a025-986cb078d33e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e8378e15-9db6-4940-9758-85e86b666d58 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f5b1bd81-51eb-4837-b8a7-e58c066aab99 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=32462598-12bb-41a6-a950-12bbe35636d1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=04b5a972-f500-41e8-96aa-03eb79ecef06 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bc1f94b4-b6a3-47d0-8d16-455b7cc752d2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9d4883c5-e419-4ae6-9b6c-45b0c274fa6c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0d7d5c88-78d7-4bb1-9eea-cf3196e2c082 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0b4e20f4-3285-4bea-bae0-2453abd5fd99 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cee258a7-1d6c-47f6-ae9f-992d8684242e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ea51876f-3f6c-47d9-ae2c-b175c4be4445 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=890bbbc6-de19-4a4b-9792-84666acd08aa | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=570a68d9-2bf3-48d9-ba75-23ab03c82cde | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a9f0c0f-2a51-4fee-ac02-a7d0bbae4124 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=075e8ff5-2ac5-4282-8e5c-ebdf0913bccc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=38bf7cd6-a6ec-41e8-9bd8-7d76d39ea5e7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8b4fb9b6-9137-411a-8f18-245169abfd9b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=afcb9f69-df8f-471a-bcf8-18ed2664b2d1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b8da4a1a-47cc-4b01-aaae-13bb133357d9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a55fee85-0a47-410c-bd7c-cb5adc3c0b42 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d861c860-c52a-4f87-a128-34015b8b5352 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e93fa335-7198-460a-b38a-b7e5f287e64e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ec73ae5f-76e0-454a-90f6-934603b62bbd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=28e41de9-f85a-4c1e-ae8b-d3861c177bc6 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f149630e-0a11-4b27-9cb4-cfeffdb0f9b9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=effef7b0-5b83-4b71-b58b-1bed3c71bbdd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5fe10f85-c1f2-40d5-b3ca-ca946da2f60b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=aac42be8-fa14-4b40-a22b-50887d945b08 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a1939080-4966-4b3a-8dd7-adfe6b0238f0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=298782a9-f8e6-4f12-afff-c480b935a1e0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6b83cc04-03e8-4f53-8201-2e409099aadc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
