gateway listening on port 3000
gateway request | id=cbc85e89-cabd-4b8d-96f3-d4b2d36cf0b3 | GET /health | status=200 | durationMs=6 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=f3a4c523-da06-4fdf-a38f-1775f90018bd | GET /metrics | status=200 | durationMs=1 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=0a6a70ac-9050-4673-8934-3becb6b29602 | GET /api/catalog | status=200 | durationMs=43 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=18fb3065-b717-4197-acc4-62bd627923f3 | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=25e82898-0756-4f85-91a1-0c211e525b9a | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b5d364db-174f-4c20-930b-124179b804b7 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7335f0f5-1f8f-4180-81bc-664fc3ec5599 | GET /api/catalog | status=200 | durationMs=34 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=47434b16-592a-46fb-8539-0f54ca0e6542 | GET /api/catalog | status=200 | durationMs=31 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4a0cd975-d1a2-44bc-a1ab-d152ab8173e7 | GET /api/catalog | status=200 | durationMs=19 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ee1c873e-e342-46f2-bfc6-29011a055060 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=505e158a-579e-4361-abec-eaf853390aa6 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d66992d0-9869-45d9-9561-2cd0c3a625f3 | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b197cd06-28ce-469f-8dda-ad7209e96d34 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=453fe7d2-89fb-4427-8d2c-b4fd0ab0dd70 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c416015e-d3e8-45f8-84ce-659217159769 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=cd6c024a-5697-4cdb-867b-4e295c4a9b38 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1148963b-88e7-46d7-a54e-559285f6a4eb | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6dc70e73-814d-4d60-9ad5-cc3a3837e776 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bf958db7-896a-49d8-a29f-0f42a01629da | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=82560ede-6b81-45ce-96ec-ffa32a1f081c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=248d751b-2192-49df-8889-b39e76f38c99 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=cb474e14-8eff-400e-b7e5-35aa9e1a9ad6 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f7a0121f-9946-4a12-8b77-a589113cac58 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f5035fcb-1851-41df-8635-6add3513b74e | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=701524f2-919c-4c4f-a38b-01e8484e90e4 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
