catalog cache disabled
catalog listening on port 3001
catalog request | id=0e5350b3-1a39-48af-a4ec-147f34fa7a25 | GET /health | status=200 | durationMs=8 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=58de202f-75f4-4e5f-8385-19e2075889ec | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=3b8af975-0836-40e0-87a3-abddd858f7d9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=10940e5e-efde-408c-bac1-41d11caac917 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=28a6267c-9f9d-471c-a05f-d20c66ff75e0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=83c79336-32fe-4a35-b4f1-4860586393e9 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=495f5767-039d-4e62-b673-765d99c44061 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=40934ae7-bac4-4377-9f79-eefce47de2e9 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f9acbc5d-b819-4bf2-b7c6-5511e222dc5b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=95a03507-5d7b-4b20-90de-778abad51e35 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=53405032-556b-446a-b92c-8191e7879819 | GET /catalog | status=200 | durationMs=6 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=20f6ec14-4d4f-4e81-bc93-98de46c5e0f4 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4b3a51fa-d44c-4426-948e-dbd4dfe6dfe9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=13f0a638-1838-4ad8-b514-1929d1c18feb | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ca7c3865-05c9-4d20-8370-0336b17458cc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=150343ba-1cf4-4a19-9081-4f248b7c204d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=92924546-7437-4de7-9193-e1eb38574084 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
