recommendations listening on port 3003
recommendations request | id=7c9cea9c-f47a-4909-bca3-878955c78b01 | GET /health | status=200 | durationMs=3 | usersMs=n/a | catalogMs=n/a
recommendations request | id=8dca4c73-2068-4f7f-83d3-92fb4c331ff4 | GET /metrics | status=200 | durationMs=0 | usersMs=n/a | catalogMs=n/a
recommendations request | id=d0bb0574-d76c-40f2-944b-3ffe1768f69b | GET /recommendations/1 | status=200 | durationMs=26 | usersMs=23 | catalogMs=12
recommendations request | id=e2ff30e3-bf4b-41e2-9744-a0459ca6dfd7 | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=14 | catalogMs=14
recommendations request | id=9a7ee150-f0a1-4956-8932-e13f822a9a37 | GET /recommendations/1 | status=200 | durationMs=19 | usersMs=17 | catalogMs=15
recommendations request | id=e30787be-326f-4457-9d84-56d10dcb8bd0 | GET /recommendations/1 | status=200 | durationMs=13 | usersMs=8 | catalogMs=11
recommendations request | id=8b4876a7-c1a4-4a1c-b42d-3a3683caa8ea | GET /recommendations/1 | status=200 | durationMs=25 | usersMs=23 | catalogMs=23
recommendations request | id=29575ddd-0e7e-4b65-83bc-71edc763d3b8 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=8 | catalogMs=8
recommendations request | id=29eb9864-55da-45e6-a0c0-933b8749f21a | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=4
recommendations request | id=55e2a10e-2794-4710-a183-d006859fece4 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=8 | catalogMs=7
recommendations request | id=38f26360-721c-4e02-aca7-9563b859926a | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=5 | catalogMs=9
recommendations request | id=b8f8fbbd-d21c-4f80-8734-c6db098f9b2f | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=7 | catalogMs=9
recommendations request | id=8f36a69a-e6e1-44d5-9032-54f03af6859a | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=b1961fd1-1390-46ba-9926-8c26bf430314 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=dec35394-f875-4a84-a8fc-ad1da45f5fe7 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=3 | catalogMs=3
recommendations request | id=64ccfa42-236c-4520-8b98-465af776dc93 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=b674311b-cd4c-4e78-bee5-cc2bc885418f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=34469c68-9a21-4222-9dd5-2b5f8ae724f5 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=98cec487-cb2a-4f33-a619-87ed0416cd3a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=e87ff53c-e2bc-4e19-9814-840abed4f09e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=20e5883b-becb-4de1-adb0-db5b1a2ec2a1 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=f01efd89-ee9e-424c-88c0-9fccd656ae2e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=65017ce8-cd5c-4b5f-a7bc-78a62cf81c80 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=1
recommendations request | id=57956fff-0d12-497e-ba7c-041de4fb9742 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=a99d07cf-d0b2-458b-8379-ce8b1f7a46dc | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=29e04635-e34e-4a99-9243-1cd8244bd41a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=a2a72237-d9be-4122-b8d6-ee13ade2d68e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=17d70587-0ec5-4e68-aa06-d12182c03648 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=111f3992-5cc3-46db-9e04-330c33ad93e0 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=f02952c9-d965-4ea6-b55d-549db888b1ca | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=94d57cca-9600-45ae-b4fc-ae0d44d79539 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
