recommendations listening on port 3003
recommendations request | id=63b0cef3-b88d-45d1-b6e2-cedac1b6663e | GET /health | status=200 | durationMs=5 | usersMs=n/a | catalogMs=n/a
recommendations request | id=eb09cd43-3cb1-4d17-bb94-d7b5217976ae | GET /metrics | status=200 | durationMs=1 | usersMs=n/a | catalogMs=n/a
recommendations request | id=44bb9115-0d91-4cb2-bbce-f0fb25b8e4f1 | GET /recommendations/1 | status=200 | durationMs=55 | usersMs=47 | catalogMs=19
recommendations request | id=093cb161-6edc-4c8b-b800-a3c431953d95 | GET /recommendations/1 | status=200 | durationMs=26 | usersMs=16 | catalogMs=23
recommendations request | id=74506fff-3897-403d-8163-10060b3913b2 | GET /recommendations/1 | status=200 | durationMs=29 | usersMs=25 | catalogMs=26
recommendations request | id=e3607fe3-d9ec-4124-b5d6-07e30b748518 | GET /recommendations/1 | status=200 | durationMs=33 | usersMs=30 | catalogMs=30
recommendations request | id=e89c28e7-7c47-4968-bce9-c85aaa62964f | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=8 | catalogMs=11
recommendations request | id=def9e1c2-dd72-4f3a-ab0b-08a1f7653b4a | GET /recommendations/1 | status=200 | durationMs=26 | usersMs=7 | catalogMs=22
recommendations request | id=53596e83-2848-4888-9cae-87750f9c9aad | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=16 | catalogMs=17
recommendations request | id=e5888334-4da6-486c-a1a0-eb57514da4a2 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=8 | catalogMs=7
recommendations request | id=9f2b7b7a-cf66-4647-8c9e-bd4c8a5e6c3b | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=7 | catalogMs=7
recommendations request | id=7665e2c7-0ddc-405b-b9b2-e3f1b5e85e83 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=5 | catalogMs=5
recommendations request | id=de638c9a-4283-4df9-8b6c-488738e6457d | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=8968e02c-3130-462b-8159-728405df76a8 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=6 | catalogMs=5
recommendations request | id=c632bb6b-6ed4-4a0e-8d93-8afd60199483 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=5 | catalogMs=9
recommendations request | id=0c9a2c8d-ec6f-4ee6-a597-687d92a56ac3 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=4
recommendations request | id=fc1904e3-53ea-4fe6-80d2-71e0eb650765 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=3
recommendations request | id=f7a02251-5b9e-4bc7-b0f0-fe06ef1c2d2a | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=1 | catalogMs=9
recommendations request | id=22a8df0d-c786-4db9-ad0e-79c701d7b38a | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=6a8c706b-28ae-4ba6-8097-d7a96ae743b0 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=dfe02536-2fd7-4999-b24b-8d5d2ac9ed70 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=5
recommendations request | id=aa8d57e5-f552-4a65-a83b-720694453f84 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=f2af4f37-b731-4114-ab6c-6ec38a26689c | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=d2b2da11-946d-4f9a-9c10-ff5212438546 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=0 | catalogMs=5
recommendations request | id=22f0f86b-f808-444b-a342-f6feca3ea6d1 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=2
recommendations request | id=34018448-7902-4a5a-aad4-1f5c9337244c | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=1420cd20-dab8-43a5-a89b-be0871dfbc2e | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=53fcd55a-698b-4f35-85b6-e048ca92b0b1 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=3b28245a-e78f-433e-b7c2-19a86fc5ed91 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=5
recommendations request | id=fd88ef07-c714-4cde-9880-df74e236b572 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=3
recommendations request | id=66fb4922-1131-41f0-8c14-bac0abc5c061 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=5
recommendations request | id=d798f8ad-5f7c-4a40-84e4-9d15def27a3b | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=ae465c97-0184-4e02-bf65-62308de1c1bb | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=3353af33-b82b-4d12-9522-cf7ef3d1f057 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=3
recommendations request | id=97828de0-7342-46a0-b58f-dc198d47ac5d | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=2b3b9bc9-77dc-49b4-b39d-b3bf6a24fde9 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=b3f98039-80ba-4380-95f2-a800186ce509 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=caf8f470-87f2-4a2f-bfdf-8ac5e21fbc5f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=c99903ef-a0d7-4493-96f5-258951d1a59a | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=4
recommendations request | id=fa98c242-7627-48a6-ae40-7d296fd6c181 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=9686d431-3a55-48db-8fdc-38e6bf17a22a | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=5
recommendations request | id=f96c671c-851c-432a-881c-2e0db9405a5e | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=3
recommendations request | id=f8f57108-318a-4915-ad8a-84a5cb65877f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=c01332fa-fa0e-4ac6-a41c-0e4d96389c0b | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=3
recommendations request | id=025748b3-1455-4671-9dc5-6fb1df0e6469 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=6
recommendations request | id=b8fb97ac-2f14-4d0c-bc16-54e0ec2f0118 | GET /recommendations/1 | status=200 | durationMs=13 | usersMs=5 | catalogMs=10
recommendations request | id=cc2aef95-d1bd-40ea-bba1-a9a11ec14bf3 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=29363a4e-fffc-4243-8891-ff58afaf23a8 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=2 | catalogMs=7
recommendations request | id=45dc6dd0-1512-44f3-8fbc-c4b0fc4525e1 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=4 | catalogMs=5
recommendations request | id=b90f6e0a-784e-4702-9215-bb3e46f24623 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=7 | catalogMs=8
recommendations request | id=e2dae247-5c60-435b-82e9-2122b6d8b72d | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=df0f4565-e286-4d87-aba7-11781a948ede | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=1 | catalogMs=7
recommendations request | id=4ef8a17c-5f3b-4237-a979-ce09b4e9a259 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=4 | catalogMs=8
recommendations request | id=7bdf71df-be48-4e0f-b3b8-3a0d183dd49a | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=4 | catalogMs=5
recommendations request | id=586d69be-4bb8-4979-b9c0-7493ca91ce3e | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=6b0ad42e-23f6-4bd2-aae6-c1d37ba7431f | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=498a8bef-4228-4766-9490-ec1f2cc90fc2 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=68ed261d-e285-48bf-9e11-1f44533d7557 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=b7790eee-c77e-4cea-b2f0-ab6290f7ad23 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=6
recommendations request | id=bb7dba4a-52d1-45c2-9e3b-7db121a71650 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=3
recommendations request | id=76977305-fd44-4844-b09c-d97fc5a7fe11 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=3 | catalogMs=6
recommendations request | id=7c91716b-4089-474a-89c2-91d2153de086 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
