catalog cache disabled
catalog listening on port 3001
catalog request | id=e93f2e48-88f4-4748-a942-73e176694025 | GET /health | status=200 | durationMs=9 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=190728bd-ba6a-4a84-9b68-344a2d5eb894 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=5a29d8d5-200b-41a1-ab1b-dc0e814bffbc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=632236d4-c344-44b0-ad0b-76873cc0f2af | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5cf824ed-f43f-49fd-8397-46c52884a84a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e51baa5d-f13e-4e2e-b855-928e9edd54f6 | GET /catalog | status=200 | durationMs=7 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=04753696-042c-448c-8d6b-79e5962361a6 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=649b5e5d-7a02-4ae1-b6ba-0d1aab74abe8 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d27c2a72-a517-4aff-8d66-ac83f5eb3118 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4110841c-bdad-419a-bf04-cf69f24b9126 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=76934247-91a2-4605-9607-0f094da5f6cd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4277d1cb-d04e-44bc-ac4e-71db999d6a2a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ef99683e-d120-4b90-8984-97c629a24275 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4341909e-db63-46e3-b944-faaaf1322634 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1330e79b-0a58-4762-86e8-37098e4640f6 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8e0b1c8e-093e-4c94-822f-c3206f1d87aa | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f3d801a5-32fd-45e7-b93f-fc185097d5e3 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
