gateway listening on port 3000
gateway request | id=4a6298c0-a94e-447e-9549-e167483c191f | GET /health | status=200 | durationMs=5 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=abeffc1e-b3e1-4dcc-9fb5-3582d0e4e3fa | GET /metrics | status=200 | durationMs=0 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=ce81c6dc-570d-4a57-9d1e-da03e4bfcc45 | GET /api/catalog | status=200 | durationMs=20 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9216fde4-506f-4416-b305-fc21c485e2d0 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=739670b4-5960-4b8f-8e5d-8010314453c3 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=de586df0-a69d-409d-8dd0-42d9a9cd2b9d | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2305a3b0-d334-4cc3-bb92-788e0c4c532c | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ff316e4c-0d0e-42f7-8a6d-dea1584ce1cc | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=15f34f4a-4a98-406b-8832-2128e61cd917 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=085b9c16-6856-4d7e-a15f-b0a31a8ec19e | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=49f6c435-827c-45a7-8d10-77007d2658ff | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=878b2b38-e07e-45cd-9d18-652bfe735654 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=01426b5d-d351-44cd-acdf-92cd102af4c1 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5a620ee2-163e-4acb-8f17-95d9ab26da7a | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e5e3f3f7-4dd7-48f0-8547-a97a2ec63436 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6fd455d7-a4b0-4185-b83f-23be074aa416 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d80e4f6e-b88d-47fc-ae30-e80474c2ca3b | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=af4ff078-0f07-4c97-b90e-6138df5217d4 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a92138c4-f297-41b2-89e5-deb628273b2a | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fb14a369-b242-4bc6-82c0-623c4e87373d | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=30f55552-f737-49d0-b188-786290758df2 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7a1daa6f-e02a-4590-8bbc-1122f48ea1e5 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e9e97990-0319-4982-8294-bde76ffc150d | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=df035065-25e5-4a35-9bf1-a3eb0f691287 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=149ee9ba-e211-4f01-834d-87227a777e05 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=00f9349d-a343-4b68-aa02-1a0ea0e4b27e | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=15c211e1-643a-4cb9-b7e6-53ff365a1f15 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9a10fb5e-aed3-44a2-8329-80fca0abbb3c | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e9308bf9-238c-4add-857e-de74e97d7440 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=08aba12c-96ee-40e7-a6ce-386155102e9d | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=56d82178-33a6-4fc5-93a7-b2444231eaf3 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6a7e0d96-c05e-4271-995c-788d36c17203 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9f32d9bc-a4b2-487d-b4e8-134bf6c39e39 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b23fb7b6-9cf4-45ff-80de-667706cb0459 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a1856103-94ba-4cf9-b526-8ee5cb98b22c | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=189e129d-c8e6-45a7-b533-5bf53baf050e | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=00822318-af71-4795-a024-ee3d32da8b0d | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6c720f20-db0a-4a88-a2e8-d9b65354acb2 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4ff0684b-a9a1-43b9-8637-3272f5eb2bb2 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7b341a1a-5b6b-4f81-ada3-4594637157aa | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=321925ac-6346-4c87-ba1c-df54cd9d538f | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=822a3b6c-bf1c-4d73-82b4-b2823956be10 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a4234729-80aa-464c-a0dc-fa2f5391984c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=517f9c52-7959-42a5-8dbf-797f5da4d77f | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ca9fb4eb-e6ed-4834-867e-6de4792939d2 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=43a2954b-dd16-4306-9bee-d85e4e5b62d9 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=de290ae0-fcdf-4569-bd8e-6cd723cfd027 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b7c8b183-9d45-4272-80ec-973a51f139c5 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=75dedcfe-633d-4c48-bd09-d6575b274cb0 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5ffe3267-4b1f-4d95-a32f-79e227738852 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6bf4d2d6-4ce0-42ec-a78c-f7f1c25a0eb6 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a66a9b4f-3feb-4788-b3af-87e8f04cd680 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4b71870e-351e-4ed5-8780-1fb99f5844a4 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=f759af05-ef7c-4526-b389-8161fb7d1ffa | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6ae5f823-917c-4afd-81d6-05cd24ed8a6b | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bdc796c8-bb55-448e-baa7-96c239ef1d17 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8de7b41b-0e61-430a-bf2e-b00c7cecace6 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6487aa16-4075-46d6-8196-d8600f004139 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0c559a83-881e-4d09-ba9f-de7e290d9a39 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6bf5d55d-aaa8-48f4-a694-8f53b1c55f2f | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=bb6cc1a9-07f4-464e-a383-d7b9b0616c76 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c2915b01-2f9a-49b1-a00d-9787a24c957d | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=37801c79-8497-45e1-b451-070d65d9ebc8 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2f00915f-da54-49c6-a12f-af535cdd4cb6 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=59275075-6bd8-4152-bb4a-cd15899b5b2e | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=776ed4b1-a96d-4ed7-8bba-c0bb9b593b6b | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=21740dce-a44a-43de-9514-3be8d948057c | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2f607290-1a9c-4632-a797-d00a055f9016 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b31eced1-a1e2-494d-a5d7-6595f6ca85e5 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=33830845-a92c-4219-adc0-4a83f7c2de22 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=12b65a92-9c16-4fb7-bc48-f8d0f451a6dd | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e39b5140-91af-4707-aaa5-304fa9a33d8c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
