catalog cache disabled
catalog listening on port 3001
catalog request | id=01beb1da-da55-4ef1-9fe0-ba5f3c9f4318 | GET /health | status=200 | durationMs=4 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=c1d3f83c-821e-4da2-a292-c31388f80eb3 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=82c27143-0035-4b30-8774-d99c4ab4a05a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7fcb22a4-8390-4fb4-95c2-4ab3923bd807 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=18cf13d5-8eac-416d-a8b2-007b06e699e4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6fc98687-c8c0-47b8-ab46-dc9966e20f02 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=65c6e3db-7858-4a74-801f-fe58789bdbcd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c3752096-4a80-4750-af9c-64bcb8ec0157 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a7466d68-02f0-492b-9dcf-8776a5980365 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6a041606-a765-486d-9c32-383be7121192 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6e62fabc-02fb-41a5-9cfc-4c75f28f858b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=70be9946-ea4b-4ce2-b795-5359b9829fd1 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=98fc0d5c-61ab-49ec-b908-bcc448c4cd7c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=004f5b22-b406-4bc5-a160-befb6786ebfd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eff952a1-24f2-450a-99d5-44aa47cb48c3 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=72edcb81-cf53-48e9-a954-7048fcac0bf0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=dfba05a3-38db-4fe3-9583-7ff9a525592d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=31218b34-1ccf-43cc-bcf5-c673b0b2749a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=34e2f09b-f83f-41b3-b522-db9792d6c5e2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=65457476-0ad5-4a9d-9805-c459586bdf86 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1b3e6463-ac4f-472a-bbec-e26948a594b4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=517bd1ed-9e4b-4d9b-b650-f46b24059bda | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d35dac6b-d7fd-4bca-bae0-386a8012b97b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ebf3e68c-95ab-4bbc-b273-4c8bd9e4af49 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8e8dffdc-a227-4322-8d36-83cedfc2d290 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=72f988c3-243e-4774-a3da-4d3e048d602c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7b8e97d2-924a-474b-8f22-c74567ce80a8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4a0098c9-1f17-4027-a935-222b6b947d90 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=30a6ebde-8aa2-44f9-a5d7-787039573404 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=745005fb-14ba-49f4-8d2b-bbf06f6eca09 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bcb8074e-1e18-494d-8d7a-e232002e74e0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=db152b16-41d0-43dd-a623-fe6b2d6961a3 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=646266ca-1620-43a9-88d5-fff2b57e6423 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
