gateway listening on port 3000
gateway request | id=9aee0c55-e3a3-4075-9a06-9706d21782e7 | GET /health | status=200 | durationMs=16 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=74709d87-b50d-4989-8817-36382e66b167 | GET /metrics | status=200 | durationMs=2 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=7d9a69b3-c15d-41b4-874f-36e17329597f | GET /api/recommendations/1 | status=200 | durationMs=148 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2d33fa07-da56-4a03-ad45-33b8acd58b24 | GET /api/recommendations/1 | status=200 | durationMs=114 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9f2a0fd0-9a5c-461b-9a23-1db4a3917da3 | GET /api/recommendations/1 | status=200 | durationMs=120 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7d9e169b-9678-4f1f-94bf-f4df7a996921 | GET /api/recommendations/1 | status=200 | durationMs=123 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8dab3378-9a95-4324-98ce-75056bea1097 | GET /api/recommendations/1 | status=200 | durationMs=125 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cc825b62-a601-4d2d-8893-f6e4aefc3d31 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=58cc144d-2bf3-4e35-a75c-4c11e92aa0e1 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=09decaff-7d67-41f5-b595-0f9324cb5637 | GET /api/recommendations/1 | status=200 | durationMs=19 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=809fbdad-3642-4939-8201-d2ee21fb2bd3 | GET /api/recommendations/1 | status=200 | durationMs=28 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9e695206-8cd1-4c7a-8a5e-878a20795e48 | GET /api/recommendations/1 | status=200 | durationMs=30 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3f7d4cde-1f8c-429b-9c78-b8e2e257ed29 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8220a0f5-83a8-415a-bf19-220c64974c6d | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=603e72fb-4dce-4dc5-85e1-c3d9afda8d4d | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=76b82689-7ef6-4eb0-b3b0-b0de28a5aa47 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
