catalog cache disabled
catalog listening on port 3001
catalog request | id=a2777c95-9a58-4fb0-b618-d6bca4b41695 | GET /catalog | status=200 | durationMs=7 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6b7ad109-08d3-4ffd-8ff3-15dd4745a2ad | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8cdddca9-bee4-4fb1-b99b-e4cdb86712e2 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6a37e995-41b9-49e1-83c3-332c4b359435 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=00cba9ef-dbf0-49a3-8225-614fe36ce3c4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e7acd249-4ffd-40e8-9dc6-ce9297182a07 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fa047081-bb33-43a9-a45b-34b34fe11ce9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7ff430d2-1e64-4913-8d0f-872557c84215 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a5c9e43f-4d93-4ea1-a2bd-76ca360f31f4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=795e586b-699e-48e0-8b33-0181a589c127 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b9362b8d-29cf-4b98-b57e-fad753806f05 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a782aff8-e4b2-4a08-a510-52871483f668 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8eaac51c-692a-4f37-b88c-0080c0ff802e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=571c652b-8f6c-4c4b-9a1a-4d0a4a3706b5 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d8cf5340-27c5-40f7-963d-f85f9da72bff | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e444d731-515d-457c-9cdf-8cfe71a25f03 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
