users listening on port 3002
users request | id=2c66ad84-2c90-431d-bc27-53de5ac71ab7 | GET /users/1 | status=200 | durationMs=3
users request | id=9e52a2a1-c89d-423b-8f05-4493a6d5dc66 | GET /users/1 | status=200 | durationMs=1
users request | id=1009f7c9-23be-46ce-a433-83577aa54f24 | GET /users/1 | status=200 | durationMs=1
users request | id=8d20c4fa-3725-4e38-a28c-5a720f06f8df | GET /users/1 | status=200 | durationMs=1
users request | id=a155e6d2-be93-4dcb-adf6-f305f1b8105a | GET /users/1 | status=200 | durationMs=1
users request | id=aaee029b-4241-494c-9870-2c8620ef70b2 | GET /users/1 | status=200 | durationMs=1
users request | id=ad6bb1fd-023a-4e61-a317-e244da1ddd54 | GET /users/1 | status=200 | durationMs=0
users request | id=46902db8-2a34-4034-b9a1-1ce3932f16c3 | GET /users/1 | status=200 | durationMs=0
users request | id=79155d39-4fab-41b3-885e-1ca58985eafd | GET /users/1 | status=200 | durationMs=1
users request | id=293f0d80-d6c2-484f-9116-1cf85d6c438a | GET /users/1 | status=200 | durationMs=1
users request | id=5850259a-d5f7-440d-994d-dec84d1dcb09 | GET /users/1 | status=200 | durationMs=1
users request | id=625bdab4-ee1c-4b7c-ad16-90db6d8763f4 | GET /users/1 | status=200 | durationMs=1
users request | id=9d409ce5-19ec-40e3-b085-cd2e940325c2 | GET /users/1 | status=200 | durationMs=0
users request | id=5c5d862a-1667-48d9-ae7b-2401771c68f2 | GET /users/1 | status=200 | durationMs=1
users request | id=bf61da55-c9e0-4379-a2aa-dbc5003c0a09 | GET /users/1 | status=200 | durationMs=0
users request | id=b8718535-2fb0-4943-b71f-4880a2448106 | GET /users/1 | status=200 | durationMs=1
users request | id=889a9575-2364-4632-90c7-4d4d4901f877 | GET /users/1 | status=200 | durationMs=0
users request | id=5e41d967-b5aa-41e8-b6e4-5a864a55c269 | GET /users/1 | status=200 | durationMs=1
users request | id=3c36e0e2-6a16-41a2-a61d-ea36877844b8 | GET /users/1 | status=200 | durationMs=0
users request | id=136b7ccd-886e-431c-af19-20258c3d9b55 | GET /users/1 | status=200 | durationMs=1
users request | id=045f5004-7873-47b7-8e3e-4107eaf13979 | GET /users/1 | status=200 | durationMs=1
users request | id=4d6f3d0a-4aed-47cd-b8d5-f07a5dd86481 | GET /users/1 | status=200 | durationMs=0
users request | id=4af24395-5094-4564-a447-9bbd73f13155 | GET /users/1 | status=200 | durationMs=0
users request | id=a161f081-cc95-4dae-9c75-97aa93c7c082 | GET /users/1 | status=200 | durationMs=1
users request | id=23a94782-c52c-4dd8-982d-d3e164d5fe8a | GET /users/1 | status=200 | durationMs=0
users request | id=996eab27-12a0-4ef9-9cdc-ab7711639807 | GET /users/1 | status=200 | durationMs=1
users request | id=f6baeaad-d2e1-47f1-955f-94b64f860a07 | GET /users/1 | status=200 | durationMs=0
users request | id=e87557b6-89af-4055-8434-5b4154a4bb11 | GET /users/1 | status=200 | durationMs=0
users request | id=64ebdb77-eb2c-4629-8221-d19a4d79feff | GET /users/1 | status=200 | durationMs=0
users request | id=a8844a6b-ac67-4bd1-bf66-382252ee4e2d | GET /users/1 | status=200 | durationMs=0
users request | id=89af998b-8133-4e0d-ab98-b62c7b72d173 | GET /users/1 | status=200 | durationMs=1
users request | id=0ada07d9-9eb8-4d6f-972d-dce83706ddcc | GET /users/1 | status=200 | durationMs=0
users request | id=5d88fb7d-1bf4-45bc-9e4a-1d05b01493ea | GET /users/1 | status=200 | durationMs=1
users request | id=9e7632d5-24ab-4c48-82bb-3f5624eca6cb | GET /users/1 | status=200 | durationMs=1
users request | id=6bff0041-8c2a-4352-ab73-8c76ac7d72c5 | GET /users/1 | status=200 | durationMs=0
users request | id=b482d0ee-3d73-44be-8719-18ec3bcb32c0 | GET /users/1 | status=200 | durationMs=1
users request | id=98827302-60a1-4598-9227-60cd6a2ca374 | GET /users/1 | status=200 | durationMs=0
users request | id=0da6ad20-7a65-40d1-aadd-a20682fcfba3 | GET /users/1 | status=200 | durationMs=0
users request | id=2ff8b9de-73ad-48da-97ef-a15e9fe9af5c | GET /users/1 | status=200 | durationMs=1
users request | id=62567746-c2fb-4d26-bd19-8fef59845fb3 | GET /users/1 | status=200 | durationMs=1
users request | id=9bb63c48-3f3a-4077-a89e-c29ff28a9fd1 | GET /users/1 | status=200 | durationMs=1
users request | id=480594ab-1ef7-4916-9670-0a52d52a30ae | GET /users/1 | status=200 | durationMs=1
users request | id=45fc88a8-a760-4d33-b1bd-cfd6020ee079 | GET /users/1 | status=200 | durationMs=0
users request | id=9b216c35-8f03-4094-aff4-72e05f4c06d9 | GET /users/1 | status=200 | durationMs=0
users request | id=afb3d99d-d203-42f2-a11e-508f50b13e3a | GET /users/1 | status=200 | durationMs=1
users request | id=1aa60816-4a1b-401b-bf77-25c873d03fd6 | GET /users/1 | status=200 | durationMs=0
users request | id=2432de4f-a421-4ce5-adc8-689596715fcd | GET /users/1 | status=200 | durationMs=1
users request | id=889a787c-fbd8-413d-b42d-2fed1e08406c | GET /users/1 | status=200 | durationMs=1
users request | id=9f553ede-7504-4655-b6e6-cb88a2675830 | GET /users/1 | status=200 | durationMs=1
users request | id=5455c07a-1117-46c7-97f4-110757e0d506 | GET /users/1 | status=200 | durationMs=1
users request | id=8b873d01-01e5-4d57-ae9f-d1a86af1e73d | GET /users/1 | status=200 | durationMs=0
users request | id=fca8d6b4-7b48-4790-a5f8-a66516a6690c | GET /users/1 | status=200 | durationMs=0
users request | id=3c3e9fe5-2fcb-485c-8533-f3b0c8e5091a | GET /users/1 | status=200 | durationMs=1
