
> gateway@1.0.0 start
> node src/server.js

gateway listening on port 3000
gateway request | id=4930d59f-7279-443d-b1bb-720930a7f798 | GET /health | status=200 | durationMs=5 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=0514a2fd-6e9e-43b2-85fb-eaf9adc5d001 | GET /metrics | status=200 | durationMs=1 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=cfe5b96d-a7aa-42e9-873b-92eb863e7b49 | GET /api/catalog | status=200 | durationMs=30 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fcadeb85-5f36-433a-bc6b-a131039e00dc | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=346af650-a047-45d2-b60b-1b325c1ca8c1 | GET /api/catalog | status=200 | durationMs=18 | upstream=catalog | cache=HIT | source=redis
gateway request | id=dcc788a3-48d9-4339-91bb-a08da93fcf64 | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=HIT | source=redis
gateway request | id=141bc3e5-4ca7-42e4-a3ac-4d231e80334f | GET /api/catalog | status=200 | durationMs=26 | upstream=catalog | cache=HIT | source=redis
gateway request | id=16806582-9a75-482f-84fc-3d9f66e68ec6 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=818421c6-4918-498d-b204-64131369b98b | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9a568de6-50b9-4dc5-bc34-7e104ddce91f | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b8f250b5-f28a-4b38-bb03-ac2729293e1e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f40dbda1-fda0-4b40-8a4d-2b011d85cc83 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=310e3426-4247-4a68-9e9f-7dfba41d3943 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8beebb44-5c79-4efc-bce8-7d8e0a883777 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=524a9096-e19a-4eb6-b8c1-1fc827a19682 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9fa17e85-76f0-43a9-8e4a-553237b4c01f | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2caf0a05-9545-4402-bcf2-843eeaec0ae8 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6e455b19-5d6b-49ad-ab9d-452fb0c4b104 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5fad6c98-5eef-44ec-943b-c0738258ab05 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=24eeb338-2298-4e0b-b205-e958e45592e8 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7a4d8587-1e24-44ba-82e4-9edd920528b4 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=aaaa3f5e-956f-4ab6-b573-21b37f0c144b | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=594031cc-ddfe-4ae2-a329-c13ab295f802 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e9b07f12-961d-493b-a8d3-b89d8c630eec | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=caaed08c-4371-47ce-b1b3-be9296443188 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=60a76edb-7854-4524-a1df-a520a3445eb4 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e1043819-40a9-427e-98bb-88cb011adb2b | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a4c0dff3-ca85-4889-bb9e-4c6185b6c1df | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d16ad045-ffe2-49a0-aa97-ebfef90d62b7 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=97a6533e-c1df-4153-af0c-1fb091364be6 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=00bc04c7-41a2-4ba4-8fe1-7a1d91797406 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bf764303-378b-4f24-939a-877eabad4f72 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f4b97047-b9fd-43b2-9ec6-0f0ba3e57848 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7477256e-df74-41f4-aa7f-2e97dc4daa9a | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
