
> users@1.0.0 start
> node src/server.js

users listening on port 3002
users request | id=2eb21264-c022-4f89-9d5f-2795686347eb | GET /health | status=200 | durationMs=4
users request | id=3bbbb7a6-500d-4456-881d-4ac47c964291 | GET /health | status=200 | durationMs=0
users request | id=f84397fc-2c20-4b92-9cab-abe85660a415 | GET /metrics | status=200 | durationMs=1
users request | id=aaf30d57-efd4-48a2-b81a-479910ec4ef8 | GET /metrics | status=200 | durationMs=0
users request | id=36bb63e6-997d-4862-b5a6-2d855a0de56e | GET /users/1 | status=200 | durationMs=1
users request | id=292a1135-4f3d-4050-bc45-96613a63a140 | GET /users/1 | status=200 | durationMs=0
users request | id=760cd63f-e606-4afe-96ab-cc9a69613902 | GET /users/1 | status=200 | durationMs=0
users request | id=4ecf7663-2259-4ca3-aca1-52fb6e031a23 | GET /users/1 | status=200 | durationMs=1
users request | id=24011deb-f7dc-4891-8cef-1a198e29c0fb | GET /users/1 | status=200 | durationMs=0
users request | id=2274aad2-2fc2-4e2e-9134-95029c0ac1de | GET /users/1 | status=200 | durationMs=1
users request | id=babc2f1c-99d2-4a10-b028-a1da5d91433f | GET /users/1 | status=200 | durationMs=0
users request | id=5a4df556-b06a-45da-a54d-663973364294 | GET /users/1 | status=200 | durationMs=1
users request | id=9ffec38b-71da-4b43-a4ca-d7ac6a20426e | GET /users/1 | status=200 | durationMs=2
users request | id=3dfeaf6b-55de-493a-bc03-f080b2416f6d | GET /users/1 | status=200 | durationMs=1
users request | id=bab7aa54-acbe-47c4-8420-ffb2e8a2544c | GET /users/1 | status=200 | durationMs=0
users request | id=f47f2a97-0078-4b51-9edf-948c3c1c4c8f | GET /users/1 | status=200 | durationMs=0
users request | id=96a05fc4-763a-4e62-9767-777d1c8c4e92 | GET /users/1 | status=200 | durationMs=1
users request | id=2248374c-2002-4290-a672-bf4af2122c21 | GET /users/1 | status=200 | durationMs=0
users request | id=cef28330-2ed8-4889-a2ef-0616eb49fda3 | GET /users/1 | status=200 | durationMs=0
users request | id=f48e2de8-bc26-41dd-b1d3-111f4205a15b | GET /users/1 | status=200 | durationMs=0
users request | id=68a0ffa2-371c-41bc-befe-30118f3775e7 | GET /users/1 | status=200 | durationMs=1
users request | id=d2f1fd7d-7aa8-4a40-a151-34dc3d0934bc | GET /users/1 | status=200 | durationMs=0
users request | id=28831a7b-c6d8-42d6-a0eb-a53a29773cb6 | GET /users/1 | status=200 | durationMs=0
users request | id=7d1b7d24-0ffd-4a47-81ce-f81dec95f04d | GET /users/1 | status=200 | durationMs=1
users request | id=bdcdbb6c-65b2-4346-b926-11ced47205b6 | GET /users/1 | status=200 | durationMs=0
users request | id=6eb4358d-3076-45c0-a48a-88cabcbd7d06 | GET /users/1 | status=200 | durationMs=0
users request | id=f527440f-aaef-4655-88c8-84ce283ab13c | GET /users/1 | status=200 | durationMs=0
users request | id=7a0ae443-c182-421c-8372-ae60838d5e51 | GET /users/1 | status=200 | durationMs=1
users request | id=0bf5a931-ce59-49e8-84e9-0e7af3829388 | GET /users/1 | status=200 | durationMs=1
users request | id=9289ffca-c6ce-4f58-9704-966965ef9d9f | GET /users/1 | status=200 | durationMs=1
users request | id=7f7f125c-2835-4355-8417-d2c3d13849d4 | GET /users/1 | status=200 | durationMs=0
users request | id=c3ec45f5-4929-4a31-a267-1a37e093b783 | GET /users/1 | status=200 | durationMs=0
users request | id=4ae112d0-5d43-4e87-93ef-5c976cd3a468 | GET /users/1 | status=200 | durationMs=1
users request | id=28fc1a28-8164-4a5e-9e1c-d21c096febef | GET /users/1 | status=200 | durationMs=0
users request | id=7a479c04-3862-411f-a942-a48c5a782800 | GET /users/1 | status=200 | durationMs=1
users request | id=2b96237b-3820-4715-a862-65db23d4a8d6 | GET /users/1 | status=200 | durationMs=0
users request | id=a7794a6e-d50d-4f2c-a90f-1cf4041b9e1a | GET /users/1 | status=200 | durationMs=0
users request | id=3dc30074-ffea-486a-ac51-7c54b7502e5c | GET /users/1 | status=200 | durationMs=0
users request | id=3fbe0834-eec2-47eb-8ddb-3d8e362e1b71 | GET /users/1 | status=200 | durationMs=0
users request | id=dba8c463-d2b1-40a8-8fa7-7e2c714900d0 | GET /users/1 | status=200 | durationMs=0
users request | id=fdd3e4b5-3c13-4908-8bba-a84b24191f97 | GET /users/1 | status=200 | durationMs=0
users request | id=7e89e0f1-fd73-4cf7-af24-7b6e4e105700 | GET /users/1 | status=200 | durationMs=0
users request | id=3c8658ea-4fba-41ff-a1ed-6e761eb063cb | GET /users/1 | status=200 | durationMs=0
users request | id=c163524d-9b22-45a8-9981-1f6702df9ce4 | GET /users/1 | status=200 | durationMs=0
users request | id=5a595d34-f740-4b59-86ac-020ff51e4fd3 | GET /users/1 | status=200 | durationMs=1
users request | id=11547dcc-0ff0-4413-bc2c-ff903f2326d3 | GET /users/1 | status=200 | durationMs=0
users request | id=57815cf0-3ba9-4ecc-af96-db139e282b63 | GET /users/1 | status=200 | durationMs=0
users request | id=7eebce27-1a11-4320-ab50-de4bf6dbce10 | GET /users/1 | status=200 | durationMs=0
users request | id=b27bf3db-e019-4b6e-9ef6-9660d95122e6 | GET /users/1 | status=200 | durationMs=0
