
> catalog@1.0.0 start
> node src/server.js

catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=fd1a8db8-4c8a-4d49-aebe-21dd934a074d | GET /health | status=200 | durationMs=4 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=7c915f30-93e2-45a8-89ef-369c327e6f63 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=86c72c79-a34d-431c-af74-da9f728220d9 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e37d5b27-b53d-4b7b-88ef-7215efef5f0b | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5d684f8f-d193-4079-9d76-f7018f370b9e | GET /catalog | status=200 | durationMs=8 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=caf99703-221f-4dda-b73b-5b78a28f4615 | GET /catalog | status=200 | durationMs=10 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1e8ef52b-5b65-40b6-9aea-df3a16d52a7b | GET /catalog | status=200 | durationMs=5 | cache=HIT | source=redis | key=catalog:all
catalog request | id=014c94f4-398a-4636-a442-0e5ef68e7c8c | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=03e59d2d-a4df-419b-991a-7914afad513e | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=47c2a8ed-8b85-427b-a503-4e405eb84bc7 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4b54b89d-2f59-4d5a-981e-10bdd06237fd | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=5152a873-c009-4b35-a8ef-62a585179746 | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c51e052b-8f8b-41a8-aecb-e225bbffb44a | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=dff1da97-dd36-4ed5-9b03-a4b3942e8aef | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9c22bb60-477e-4b0a-8e67-b233039eec6d | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=ba4b13f3-bb12-409e-817a-3200c8fdf0d6 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=36de9da7-58f1-427a-9bca-7525cce253c5 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4b9d74fa-50aa-43c9-b8c0-538b8262dfde | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=8b277084-11f9-4bfb-b2be-ff627323ac3c | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=634d5447-0e03-4081-aa4e-376900f0126f | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
