gateway listening on port 3000
gateway request | id=970d1acf-4e72-4ab8-82b3-c7211535019a | GET /health | status=200 | durationMs=11 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=149ec751-8706-44ce-8c33-4e1b6eff4070 | GET /metrics | status=200 | durationMs=2 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=a05671ed-2395-43ec-a9cb-702a374b0e3f | GET /api/catalog | status=200 | durationMs=79 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ed1d654f-3ffd-44e0-bbb3-1bcbc4c77e84 | GET /api/catalog | status=200 | durationMs=46 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3949d5de-2478-47e4-9f57-826a134b3613 | GET /api/catalog | status=200 | durationMs=55 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bc53cbc2-5a9e-46b8-b5bf-dff58084e26c | GET /api/catalog | status=200 | durationMs=64 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6b6e3fdc-5f6d-419d-a7cc-854452d5f842 | GET /api/catalog | status=200 | durationMs=68 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d6bc1871-7d82-4821-a4cf-a4b63a3a5a3f | GET /api/catalog | status=200 | durationMs=72 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5522f28c-62ce-47a0-aa7e-d1f5610d3dc7 | GET /api/catalog | status=200 | durationMs=77 | upstream=catalog | cache=HIT | source=redis
gateway request | id=67992d6f-4f5c-4fd5-b835-b6e3e0b4dbbb | GET /api/catalog | status=200 | durationMs=83 | upstream=catalog | cache=HIT | source=redis
gateway request | id=de39e1df-f9a8-45f2-8ee0-68cc844f9dd4 | GET /api/catalog | status=200 | durationMs=100 | upstream=catalog | cache=HIT | source=redis
gateway request | id=801cd9e2-6bc8-47b5-8943-699713f74e31 | GET /api/catalog | status=200 | durationMs=84 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5dad05dc-9ef0-4a4a-be37-1c04a3690739 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f29b74fc-e3bc-4e26-9f21-554456b66a1d | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ae92eaf2-5e1d-4be5-8e3a-17b76a43a06a | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e46c9249-98ca-4db5-9e06-71da0a4f6283 | GET /api/catalog | status=200 | durationMs=14 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a7cf5db0-dbea-45d2-a3c7-96602fa954af | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a708631a-48b4-4665-965e-8af5ae37c7dd | GET /api/catalog | status=200 | durationMs=20 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0f608951-95e2-439d-9a82-d69e48c14ebe | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=36e273f6-e706-4d60-b6bd-c212171b6024 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=da8ba135-e4cf-4046-b356-133bf7e2443c | GET /api/catalog | status=200 | durationMs=17 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bb6c20b6-0b14-47fa-a6a8-c4b4867f79dc | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7a5f8e64-f2ba-41d3-b65b-ac1636de3b96 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=649b66ae-a855-4b67-b999-4f8d3e4ce8b8 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0f11ecc2-c1bd-4ccf-8557-a570c1c52499 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3defaaa6-f454-41db-897b-f6b41a5d2110 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f7f49594-0e6a-46d0-960e-ce580e4127fd | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=eaa410ab-98b4-4cae-8c53-255bc6c61dd3 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=80451fb2-5abe-4bfb-a23e-26428bf78a14 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=33d9005a-ab18-4270-922d-e82dc2b29981 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=444ad0bc-c76f-41ee-8b8b-154930a95be4 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d4e70e29-aa17-4c82-9ed7-08efd2766fc3 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e0848f0c-2332-4117-adcc-77a9ad35e456 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b79a6bf6-7fdd-477d-94db-bf05222d3591 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=46e3a5c2-3b17-43e8-8706-ea1505615f68 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=94dc94f7-1707-4529-87dd-2e800fbf44c7 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e1713d9a-6a81-41d8-a5f6-082292f0d820 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c7ba369c-70c4-4eb3-9fa8-cc950940f56f | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
