catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=c6624ec1-16c5-4a55-9c55-addcd5ee0681 | GET /health | status=200 | durationMs=4 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=d9895658-612d-438b-9c4a-9517c6bd2b39 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=d4c49bfd-2dea-4a87-ac6b-1348c6c31746 | GET /catalog | status=200 | durationMs=6 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c4ef213e-f2eb-43f6-bdd3-b020ed97ee9e | GET /catalog | status=200 | durationMs=5 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=beffca3f-e7d4-4b50-95da-45ed4660df2a | GET /catalog | status=200 | durationMs=6 | cache=HIT | source=redis | key=catalog:all
catalog request | id=62db3a14-6a86-4188-885f-811c86c3294b | GET /catalog | status=200 | durationMs=6 | cache=HIT | source=redis | key=catalog:all
catalog request | id=78fe38ae-1755-4064-bfab-2b24afc5bbda | GET /catalog | status=200 | durationMs=5 | cache=HIT | source=redis | key=catalog:all
catalog request | id=7d55dbee-2439-4c1a-a7f4-99686e2b0975 | GET /catalog | status=200 | durationMs=6 | cache=HIT | source=redis | key=catalog:all
catalog request | id=aba186e6-2e85-4c0e-a39d-c9994e03834a | GET /catalog | status=200 | durationMs=5 | cache=HIT | source=redis | key=catalog:all
catalog request | id=94679a63-e6ec-4b2d-9a26-5ba512999733 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=144d3002-8d80-4ff4-bae5-db84e3e3c4c5 | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=7af8a501-a302-4790-bcd0-7010a4d8b16f | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=93792369-3433-486f-9db5-bebe6c512e79 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=602ee4be-bc1f-4426-a157-55cec712c9aa | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=079ea19d-9ac8-43f3-8118-f424bca0aea1 | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=1ee85306-b751-4e20-9812-2c8e8d18ae5c | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=32ae574b-287f-4194-bfb0-9adfbf5332cb | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=43abea67-4e68-4b9b-b92b-738376799ee4 | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=96c0bf99-65c8-49db-a0c8-6d325c953c41 | GET /catalog | status=200 | durationMs=15 | cache=HIT | source=redis | key=catalog:all
catalog request | id=1660f586-2033-41d5-bbf1-da008d285edf | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=a8de2aa7-ab5a-4519-a76d-de588eb7d460 | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=e69fabd0-407e-46d7-9412-4743b0322163 | GET /catalog | status=200 | durationMs=6 | cache=HIT | source=redis | key=catalog:all
catalog request | id=ff4f4ce6-10e4-4bef-9de0-6f5e4aece0d4 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=06eb3cea-0559-48db-a1be-bad0c4815e58 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
