recommendations listening on port 3003
recommendations request | id=ea351388-11c2-4ec4-98a2-2ba83410cbda | GET /health | status=200 | durationMs=5 | usersMs=n/a | catalogMs=n/a
recommendations request | id=2bd4a70b-d99e-4ea8-a1bd-7ac1d8af44a9 | GET /metrics | status=200 | durationMs=1 | usersMs=n/a | catalogMs=n/a
recommendations request | id=8b883b00-92b7-4ae9-9f11-429de5538141 | GET /recommendations/1 | status=200 | durationMs=42 | usersMs=35 | catalogMs=15
recommendations request | id=b36dfe98-62d2-4be6-ba76-de9f9d7be4cc | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=13 | catalogMs=18
recommendations request | id=6e045744-19cd-4222-ab64-cfda7aac95aa | GET /recommendations/1 | status=200 | durationMs=22 | usersMs=20 | catalogMs=20
recommendations request | id=5047fe89-9b19-402b-828a-ef2a3fd00084 | GET /recommendations/1 | status=200 | durationMs=29 | usersMs=26 | catalogMs=26
recommendations request | id=535d609d-bfa9-4578-8c10-225fda777343 | GET /recommendations/1 | status=200 | durationMs=22 | usersMs=14 | catalogMs=17
recommendations request | id=84987e0b-9d06-44da-94cb-a235e0975ecd | GET /recommendations/1 | status=200 | durationMs=30 | usersMs=6 | catalogMs=28
recommendations request | id=8e779fc2-f3af-4221-9a23-f6ab0704f9f9 | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=11 | catalogMs=14
recommendations request | id=4c82837e-ebb6-4323-b5ac-9454f2c87f3f | GET /recommendations/1 | status=200 | durationMs=20 | usersMs=10 | catalogMs=17
recommendations request | id=7ca4af61-f67b-496a-85a4-aa38fb29793f | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=9 | catalogMs=19
recommendations request | id=d7bc5c32-3f86-423d-83fe-10337fb905fb | GET /recommendations/1 | status=200 | durationMs=23 | usersMs=9 | catalogMs=21
recommendations request | id=5e512539-e784-40cc-8180-d0157de3edc0 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=53e40e55-5a55-4c0a-a304-64dcc894adbc | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=69b9c7b9-8635-4b44-bb2c-c1d93a50ad75 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=303454f0-ab56-4f70-8ebf-848654a72647 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=ce04c0c5-1000-48a1-a3ec-1f207e12aecb | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=5e8297aa-2578-45e8-a2e8-63aa159c1fa8 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=8986b236-19dc-4e17-8a35-48e681cef162 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=551b2a1f-5a3b-4340-a3d9-6c615286169d | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=239b31cb-e560-4584-9ac5-59ea3ec38a61 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=ddc54dde-dc50-4c9f-a879-f968a8d010a3 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=6
recommendations request | id=11d7404e-1be5-4699-81d2-fce0d3304693 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=4b92582f-7c44-4d4b-ac59-37d6c6e73592 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=48ba3995-c458-4989-ac9e-4fdd3cce13ca | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=f46a483e-c327-45d2-91f4-31f50872e9f4 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=0cbd9ef3-705d-4be4-8b89-cd53ea6dd7de | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=f8fcf653-a75a-4232-a4b5-e52b152cc7de | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=1e7648f2-fe70-4c45-99bd-5c07a08e4153 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=1c57033a-47fc-45a5-8e80-4c149b02d9c3 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=a19c4248-2c8c-4ddf-b232-88156b11649e | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=3
recommendations request | id=bd225216-a33e-45c8-be74-ce23a5c5ba2c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
