gateway listening on port 3000
gateway request | id=3f49c99a-ebfc-4d4f-b4e2-49989e481a64 | GET /health | status=200 | durationMs=7 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=5fe86339-40cb-4668-b0ba-6103d6b2229a | GET /metrics | status=200 | durationMs=1 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=47fc62c9-60c0-4836-b462-e2d7f5040c80 | GET /api/recommendations/1 | status=200 | durationMs=107 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=714ed487-a1a9-4c44-ac8d-4dacf7a0763f | GET /api/recommendations/1 | status=200 | durationMs=81 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b006748b-c958-44ba-a2e2-d6eebed9ceaf | GET /api/recommendations/1 | status=200 | durationMs=79 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d8091329-2ab9-44e8-a99d-e3aefa7d0d92 | GET /api/recommendations/1 | status=200 | durationMs=84 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=75af3129-71c1-4d6b-a148-65a45ccb3af5 | GET /api/recommendations/1 | status=200 | durationMs=99 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=87cbc2d7-6d16-4f22-a682-a95816b75ab9 | GET /api/recommendations/1 | status=200 | durationMs=106 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c6bdf1dc-a514-4e8f-8996-80e758428ec3 | GET /api/recommendations/1 | status=200 | durationMs=107 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=db102ce7-96b2-4c72-97a4-5171bca9343f | GET /api/recommendations/1 | status=200 | durationMs=123 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e1e066fd-7f25-4cb0-9b6f-36bc11ccc515 | GET /api/recommendations/1 | status=200 | durationMs=123 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=17bdbf25-a576-4164-8c79-a793f752b6b1 | GET /api/recommendations/1 | status=200 | durationMs=127 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=00daf5cc-25bd-482f-ab14-1b1f4d525f75 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c577b645-6d00-4aa6-bad3-88bf14688e46 | GET /api/recommendations/1 | status=200 | durationMs=16 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1495e37a-e8e6-4fee-86fc-faf93fd0fd86 | GET /api/recommendations/1 | status=200 | durationMs=29 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=18a42911-4cbc-4b74-8324-2cfdcbe547da | GET /api/recommendations/1 | status=200 | durationMs=25 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=bd17c9ee-dd09-4399-ac98-7febec034906 | GET /api/recommendations/1 | status=200 | durationMs=20 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d52d57db-dc88-447a-bd43-c43e2302fcae | GET /api/recommendations/1 | status=200 | durationMs=28 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7a2496b0-7e9e-4774-b03f-a65eea663cb7 | GET /api/recommendations/1 | status=200 | durationMs=23 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4fe427d1-fb0a-4b3c-8239-4b0d9002c4c1 | GET /api/recommendations/1 | status=200 | durationMs=19 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6dd5ee2a-5c7b-4ffe-8b11-6022c84196e0 | GET /api/recommendations/1 | status=200 | durationMs=22 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e06278e8-92d6-44ed-9fa4-65655373a6d4 | GET /api/recommendations/1 | status=200 | durationMs=18 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d08d95ce-4b76-4565-8312-2ddb00ac138c | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=03b81dce-d8e1-4df3-b46b-cb094e13e58f | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=753ee2e7-b428-4834-85fe-162a710a21e2 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
