gateway listening on port 3000
gateway request | id=e9b497b8-2352-4a2f-b2c2-ecf6add14ad5 | GET /health | status=200 | durationMs=11 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=678ad172-aa7f-4678-943f-d56208afecef | GET /metrics | status=200 | durationMs=1 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=67e76d24-4cab-44b4-be17-b7b0726c53b6 | GET /api/catalog | status=200 | durationMs=78 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ac9779ad-875f-4128-8d92-3463dfda1d2b | GET /api/catalog | status=200 | durationMs=47 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=228f4047-c14b-45e1-bccf-563f760fe3ec | GET /api/catalog | status=200 | durationMs=51 | upstream=catalog | cache=HIT | source=redis
gateway request | id=22e153ca-c72d-4ada-a75b-6271729d92d2 | GET /api/catalog | status=200 | durationMs=58 | upstream=catalog | cache=HIT | source=redis
gateway request | id=cd61ba83-9fd8-481a-bfca-929c8606240c | GET /api/catalog | status=200 | durationMs=63 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fcce9148-98a1-4f26-b9a0-a45cc476ee9e | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d8b94898-dc5c-4f39-a562-141ec2cf0f8d | GET /api/catalog | status=200 | durationMs=19 | upstream=catalog | cache=HIT | source=redis
gateway request | id=89ffe310-1c59-4fa0-b9c6-906921753489 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6eee5b55-ac76-4206-be8c-e2aab79c3f27 | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=HIT | source=redis
gateway request | id=53736de3-5cd5-4b64-b3bb-da86b2b786bc | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b5ca5eaf-bbeb-4104-9f3c-82fd42affc37 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b7bf1563-775a-4f05-873d-2fbd07ac4a06 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b15f4697-63b5-4128-a664-4af936ec7ec0 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3c72138c-b9cc-4970-8d76-84843cba35ba | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=69ddde5f-22e1-4207-9c4a-e0a325f5cafe | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=938e3221-e0b7-4dfe-a6b6-f7d0e8741510 | GET /api/catalog | status=200 | durationMs=13 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d2eb5b31-2805-44e4-ade9-bfafbf200a6f | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=74c86e90-335c-4985-bc8b-3e687e124d55 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=40354f31-3c26-4741-ba7b-6bdfd702ffc1 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7d4bde1e-22ec-447b-b2d4-d6a936160c67 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9fe46e33-8501-43d3-8144-d2326fdbe122 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0f1bab86-e8a5-4bf6-add7-c1adc95a90c4 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=37195f32-0488-4e20-b84e-78216d110170 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b4dc9c4d-4be1-48ab-b051-47fd1deba147 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=aa424634-bd8a-438e-a94f-af4bf904c52e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=1993aa38-c139-4c10-9f35-791efa1bf691 | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8c75138c-6d04-4a91-aa69-258fc5246651 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
