catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=a761a39c-ba62-4de9-8b62-24cadf68cdaf | GET /health | status=200 | durationMs=3 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=7c5a478b-8edb-46ca-acd2-79c320a8f1a3 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=dd55d172-21e2-4387-a065-2211547a430f | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6a424d49-f899-4602-86ec-d19951d8880a | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=312b8fad-7aa8-4b7a-a64d-60af87391410 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=b0e2973d-a9e7-4fb4-aead-07a8ad7e41d1 | GET /catalog | status=200 | durationMs=5 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4e328a7b-7e70-4a2b-9321-d5a3ae55744f | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=da7e0dd0-04a3-47c7-9884-af927f2bdf2a | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=dfcb8b8f-e4cd-486e-9dbc-8ef77cd97cca | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4d9fdd4b-d8b2-446c-8310-53760783d084 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=618a27e3-ed16-4dd6-a576-802c8faf9d7c | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=02a69540-48f2-4ec0-bfa4-15c86eec75c1 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=caec8b28-728a-4880-becf-2e6f9edf1a2d | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=dd053946-1e1b-48a5-b614-abf2209d6294 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=6cf8e547-3d6a-4baf-ab40-5707d72a7963 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c23a36cf-3271-4dbb-81df-1fc5fd452b90 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=825bac2d-c4b5-4f40-bf70-5e43fd2cc918 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=20b39238-4d45-41e0-b46f-70335bc8fcd3 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=5cda1b29-1ad4-4667-94b8-80612db0a1c5 | GET /catalog | status=200 | durationMs=13 | cache=HIT | source=redis | key=catalog:all
catalog request | id=1c3b42e0-dfb2-41c4-88ef-8a0e4bc6f1fb | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=8690c82f-66ce-47dc-bb69-7e3e878c3ef6 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
