gateway listening on port 3000
gateway request | id=112ac6e4-abc5-4185-9d07-d41fa663ef7c | GET /health | status=200 | durationMs=4 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=ffd2fc8a-eb0b-4a3f-8f33-a66fca7d539f | GET /metrics | status=200 | durationMs=1 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=8bbac221-9407-485a-b867-21479d974f84 | GET /api/catalog | status=200 | durationMs=37 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6b88ff04-bcf3-46bd-973d-f3953d78668a | GET /api/catalog | status=200 | durationMs=21 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5ba6355d-b122-4d88-a1b7-6c0fbe4816dd | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d6d44704-4e51-4376-8b3c-547926d0981f | GET /api/catalog | status=200 | durationMs=25 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f5daf460-fdeb-4885-89af-88f89fadc4b2 | GET /api/catalog | status=200 | durationMs=30 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2c6e659a-2004-4db0-aef0-e50b37122654 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=82d9d9d3-a26a-478d-8601-0cf16f4b2139 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0652599b-43e2-4af3-a11c-716e0553ad6a | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a887ee6a-c895-4bf4-b26f-b588367685e8 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=501b5641-9111-45ac-b00e-77c1c51accfe | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4be1ad8a-da4d-47b3-bbab-65d672eabe7b | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2a7af489-eb7a-4246-8166-5b3187bf37ae | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=91726430-13c4-4384-b008-330510fc17b3 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=60124589-598e-4b47-a6e6-7171f24f3911 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f721acdc-df73-4486-9f61-a2d52eaa7335 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c651a1d7-8c7b-4613-9c20-d201431fed9f | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=be5e95e1-961a-4a75-aa28-b6015931dd80 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5f6bddda-c0e9-4f02-876b-58f41800c3ab | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9939eec2-24c3-4c34-8ffc-09aca4ddd84e | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=331a66dc-6cb9-432e-8daf-a7f9afe9fc0c | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7fe8f9e4-3213-496b-9624-d5b90fac1a06 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8991c4b5-a994-4169-8ae9-356edf28fad1 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=cfe1fd3d-ac95-4ab5-aa56-61cfbe8d83b6 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f6057879-e556-4ac1-af25-9b71eca07296 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=eaf74108-5b9b-47cd-b066-8d7a9afc3dba | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=10ae3334-fdff-429e-a0b8-636f022843e0 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ac255e93-fdaa-4956-ab53-0d857a5b72c8 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0166d258-1d82-4d5c-92e8-dc4ef4d37925 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=07785cdc-56a1-4468-84d9-c4aaadaef65a | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=08e7a93e-4aed-4648-8ff2-fba159de2a4e | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bd5fb926-4ae2-429c-94b3-4fcd7ae50ab0 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=10fc3fe8-2377-4387-8bbc-ee64542e490f | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c70696aa-521c-4a9b-ac01-7f3fa93f4143 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=370bdb32-b399-4eb5-acd5-72fe4c8ad657 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7d19ecba-3c74-4a5b-ae6f-1911ceacd44c | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ef251eac-96d3-4989-a34f-34219718599e | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c06b823f-ef6c-4187-9ae4-3215f29649ae | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=80a40779-b366-4db0-8d8b-8ceb5d44737e | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=41105b5e-8e29-4374-a7c1-643194a845d9 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5ac2dc09-4236-4a10-b576-66470407ab62 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e8976603-0c84-4353-9e68-057a6e94330d | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f9603e85-022b-4dd1-a71f-f925454b4023 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=67f80284-e4de-4c18-892e-82131deaaa0c | GET /api/catalog | status=200 | durationMs=24 | upstream=catalog | cache=HIT | source=redis
