catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=dab91b78-100c-447f-844e-9c66f139684d | GET /health | status=200 | durationMs=9 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=fc4a6625-54bb-4a81-ac3e-65b9e3e461fd | GET /metrics | status=200 | durationMs=3 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=adb48559-fae9-4738-8194-686248aeec87 | GET /catalog | status=200 | durationMs=10 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=440e8ab4-13b0-4221-9760-4c1520c327e2 | GET /catalog | status=200 | durationMs=8 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a887d066-3ad2-472c-a69f-39a419555c5d | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=cb0094bb-fa93-4d6b-9757-67068b02bf0a | GET /catalog | status=200 | durationMs=6 | cache=HIT | source=redis | key=catalog:all
catalog request | id=bd96bc4f-e47c-4e5f-9412-e4c2045d4191 | GET /catalog | status=200 | durationMs=18 | cache=HIT | source=redis | key=catalog:all
catalog request | id=38fb8384-3c63-465c-b968-33063e7990bf | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=a0f5ac89-6dd7-45a5-95c5-8d940b67d317 | GET /catalog | status=200 | durationMs=7 | cache=HIT | source=redis | key=catalog:all
catalog request | id=015e99d7-dd5b-4a95-b596-b2fadc647047 | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9f6cb5fc-12e4-4494-8eb7-acacf89dfb00 | GET /catalog | status=200 | durationMs=9 | cache=HIT | source=redis | key=catalog:all
catalog request | id=cfc9279b-6e40-4a44-bf5e-3e98f164dc8f | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=bcc58079-c911-4df4-af76-71b871ead092 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=afd466b1-5926-4f3c-9242-78c780e1c9be | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9c3734ca-4905-4038-aba5-db38750c216b | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=92c81c69-d518-42fb-9ded-9455363d3db4 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
