catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=54e9bff8-9608-4ead-bf40-bee30bca9bfc | GET /health | status=200 | durationMs=4 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=c813d1bb-e325-4673-a3bf-9a7655289485 | GET /metrics | status=200 | durationMs=1 | cache=BYPASS | source=n/a | key=n/a
catalog request | id=5ecb95a2-def1-4cba-b3cc-c46ea6dde6c8 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ccab87d7-7d2f-4351-9067-0aa5d345ff9f | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6cd844bd-9572-4407-9677-800d1ea28a88 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=2d600ef4-e48e-4e6f-b421-2738274ff663 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=50f9fe34-4772-4552-b57b-d1c0c63869c2 | GET /catalog | status=200 | durationMs=6 | cache=HIT | source=redis | key=catalog:all
catalog request | id=398b5a98-f359-41d3-bc62-983ad7faefc1 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c17228a3-7737-4dcc-b772-61fb4ccd9f59 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=7f2711ef-46f4-47be-9e80-c2a8f50b8448 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=3dc477b0-1167-4d7d-9840-3aad28c4511f | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=367c0830-f173-45c1-b2ab-5c35328d74e7 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c6aa01a6-32dc-4f2d-bef9-4975dfe02906 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4d9c29b6-6e3e-4919-96dc-8f55e5c24ada | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c0adcc6b-544a-4355-b8e6-6368a9090c5a | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=5197c122-26f4-44b4-bf55-bc245cfa0128 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=8c5d1f3a-b323-4bf9-bc4c-31644121f546 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=fd688304-19f7-4f08-b3e6-7acb896c7676 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=8e28af5e-736f-4e34-9985-bb957fa9199b | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=fdaf8829-abdd-4fb0-b017-a37889fa2877 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=5fe78336-3fe0-41bd-a60e-25ee426636fc | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=1cbf8f5a-344e-419a-b035-75dd1cb00822 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9291accf-0cf7-4b6d-bd37-f831ebe1562c | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
