recommendations listening on port 3003
recommendations request | id=fb4d5a68-34d3-406e-80cf-1adb30cb96b9 | GET /health | status=200 | durationMs=4 | usersMs=n/a | catalogMs=n/a
recommendations request | id=589deb27-9ec0-4f0a-812c-4666d24768ff | GET /metrics | status=200 | durationMs=1 | usersMs=n/a | catalogMs=n/a
recommendations request | id=044bd55f-c1d2-4142-a85b-45963ea56f58 | GET /recommendations/1 | status=200 | durationMs=41 | usersMs=35 | catalogMs=15
recommendations request | id=36617289-4bb0-4449-b2c0-7d64019c077f | GET /recommendations/1 | status=200 | durationMs=20 | usersMs=12 | catalogMs=18
recommendations request | id=dc5b80a6-b758-406d-90f7-230f30a257ef | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=19 | catalogMs=18
recommendations request | id=4141b35f-56e0-4092-8559-8c28fefb261d | GET /recommendations/1 | status=200 | durationMs=24 | usersMs=20 | catalogMs=21
recommendations request | id=18d9a969-bb5c-453a-a83e-79de77b5e4d6 | GET /recommendations/1 | status=200 | durationMs=15 | usersMs=5 | catalogMs=10
recommendations request | id=19fbfe67-0747-4e52-8f82-5bf1c7582d87 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=17897ad8-c805-4002-8eb6-35ab8d29e932 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=4
recommendations request | id=4b75d40b-3e86-4725-93e6-e03e1169cdcb | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=5
recommendations request | id=78e55e1f-38f8-41b9-849f-e391f3fd64ad | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=3
recommendations request | id=268874ce-22ff-49ec-b554-eb693e5c8607 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=6
recommendations request | id=5063d0d6-3932-423c-9646-b9d0157c5f61 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=a8f20797-7585-441b-b386-a6c4cdef0bab | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=3429593c-2221-4232-95cd-f60b81a818f0 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=9ca065a3-9276-46de-a29b-1f9947024f50 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=8556e251-bf45-45ab-96da-42d785c4f641 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=a90195bd-ccda-42f7-a6dd-ed154ee1f49d | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=02d4678a-4d4e-4383-b69a-c4de564f1972 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=7
recommendations request | id=b78e61fe-6fc8-4054-b183-76f6edbaa267 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=8
recommendations request | id=3cfb9e44-83f9-42ad-aef4-8b197738a7db | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=1401ceba-c16f-4107-bf68-a8693d926d31 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=237c86db-0b7b-4417-8205-6d2ffc89ff10 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=68b342d5-e6a0-468e-a164-8d6ce8b32a00 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=6dc719f3-4a15-4da6-a7aa-f040959e62aa | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=219f7324-8fbb-4235-8ba0-612f4ac1b2c6 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=2
recommendations request | id=09e7e4df-3ff2-4862-aa2a-db5ba2a3340b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=33ffe6fe-55de-4d28-8337-bd847deeade2 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=3ce2a3fd-d379-4c96-bbdc-a040969ab39d | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=2972ebb3-c0b3-453a-839a-c101ae040677 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=e3064077-9e5e-4571-b159-3c03f311e91c | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=3 | catalogMs=6
recommendations request | id=95b5b85b-8454-40dc-ad9b-7beb3dfb3794 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=5
recommendations request | id=93f944c9-cbb5-4e7b-82d4-29704e00975f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=7b94be84-8c97-4fe0-ac70-812918857f38 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=5
recommendations request | id=5bb6deb3-da80-4eba-9c3a-7ccff57c1327 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=5
recommendations request | id=72a46285-d5ad-4152-98c0-be90f7df5f3f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=4 | catalogMs=4
recommendations request | id=4f353598-cd9b-471a-baa8-3bc0cc0a0ee4 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=d7c506f2-eaae-486d-8212-2f564379a093 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=eb8c6f61-9722-42ad-8333-a958f7b6e080 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=6
recommendations request | id=9e93728c-0c88-4d6a-b162-089ae3d0e6cf | GET /recommendations/1 | status=200 | durationMs=15 | usersMs=3 | catalogMs=12
recommendations request | id=d6a44628-1f20-4568-b953-ad941ba6a5d8 | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=3 | catalogMs=14
recommendations request | id=682439c9-c1d5-4a4a-bdee-997077c8781f | GET /recommendations/1 | status=200 | durationMs=15 | usersMs=3 | catalogMs=10
recommendations request | id=886fd1bf-ba53-41b3-99ce-0c9c2e92a7f4 | GET /recommendations/1 | status=200 | durationMs=26 | usersMs=3 | catalogMs=22
recommendations request | id=fc952713-d619-466f-8413-3f0485344963 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=5
recommendations request | id=0c1af45a-530a-4d84-85bf-c119931cc22a | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=3
recommendations request | id=c3a396a5-ce80-4e52-91ce-e8f6825790a3 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=51b1947a-d042-4b4b-8b9f-fdf814a62011 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=2
recommendations request | id=9c0efd74-d78f-4b5c-8826-2509aa6592d0 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=490b2af1-8e5e-4582-b74a-002bba36b2a0 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=890b9a76-4880-49c9-9f75-24c3d06115db | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=6
recommendations request | id=11d93774-0f12-4b72-8278-09db88bbcb36 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=5
recommendations request | id=65f938e1-185a-4dc0-890f-f46c4827aaa1 | GET /recommendations/1 | status=200 | durationMs=42 | usersMs=35 | catalogMs=40
recommendations request | id=a28d4f9e-6bc4-4b7d-9712-62e99019659a | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=554cafd3-b5b6-4fbc-9a30-aa8308ffe789 | GET /recommendations/1 | status=200 | durationMs=20 | usersMs=4 | catalogMs=16
recommendations request | id=b46f7be5-0cec-43c9-b6fc-c3824f6c8b38 | GET /recommendations/1 | status=200 | durationMs=22 | usersMs=3 | catalogMs=19
