recommendations listening on port 3003
recommendations request | id=3854eec6-f1f3-4ed5-9f8d-8d3fc76aaa74 | GET /recommendations/1 | status=200 | durationMs=31 | usersMs=26 | catalogMs=14
recommendations request | id=c9bc3d98-6deb-483f-b968-b211490fdc84 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=3
recommendations request | id=00a5eea5-952c-473e-9cc6-ea2ea13d10bd | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=0ab34811-f245-425a-8984-dfbad40ad594 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=37fb2bb9-4ba2-48cf-93fb-f2fec08af2e9 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=8fc2aa3b-8076-4075-b094-0eef2c43e83f | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=a5102184-24d0-4023-8ce5-e736644a77ff | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=9088bb5f-c50d-47c5-a5ff-31481092fbfe | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=76b4be31-04ca-463e-8264-87cf5ca25894 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=d8195a6d-b634-402a-ad54-b2637eb17c59 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=129bf9a7-8a05-4c73-9e63-d6b521721511 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=5759c559-246a-4f43-81f7-5fe0d5766ee7 | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=1 | catalogMs=1
recommendations request | id=d2d732f3-bf62-4c11-ad57-1f750f548e89 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=4
recommendations request | id=55a699be-858b-4fad-ba13-1b245baaaf9b | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=5 | catalogMs=4
recommendations request | id=37b6018c-f94b-4d75-9b75-1f9ae591c944 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=152828ad-ad09-4ae5-b8b4-b62a0b201036 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=49797f05-3b71-4c8d-9eef-9907a4fd7189 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=706b3d11-c115-4313-b7b4-0b7f8ac68907 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=4
recommendations request | id=eecb62e6-e3fd-4411-8a17-616404bb5bb9 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=7cdf9f4a-1f71-4df9-a9ad-4369b511008c | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=5 | catalogMs=4
recommendations request | id=0f6854fa-eafb-41b3-a1bc-09cfd09939cf | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=3622fad9-5b0b-44f3-aa7d-ae9a354043ea | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
