users listening on port 3002
users request | id=7798887d-1253-408d-a761-e0edcdcd05e9 | GET /users/1 | status=200 | durationMs=4
users request | id=306c7c44-397c-41f8-b9da-62aa64008777 | GET /users/1 | status=200 | durationMs=0
users request | id=4d7a8dc6-205f-4d37-836f-408fc8a64c0f | GET /users/1 | status=200 | durationMs=0
users request | id=161c767e-9cb8-40f1-bc95-3ec3423d259a | GET /users/1 | status=200 | durationMs=0
users request | id=9cefc881-ee6d-4f7c-81b0-df35bf00544d | GET /users/1 | status=200 | durationMs=1
users request | id=ef30a520-63eb-4fb5-924d-c75bc95125d9 | GET /users/1 | status=200 | durationMs=0
users request | id=3c2bc24e-8b9e-4dca-8e70-7767c290b739 | GET /users/1 | status=200 | durationMs=1
users request | id=c5093c84-a563-42bc-b2c9-6324c623c9b3 | GET /users/1 | status=200 | durationMs=1
users request | id=4e509bc6-a604-4c8c-b54f-64156f519c00 | GET /users/1 | status=200 | durationMs=0
users request | id=4b73a9a0-baec-4e3e-80ad-16cb1c173d1f | GET /users/1 | status=200 | durationMs=0
users request | id=b7a70ec9-dc0e-4f18-a33d-699d0a5ea7ef | GET /users/1 | status=200 | durationMs=0
users request | id=17cdf870-20df-4ddf-9f03-5d3a8133f625 | GET /users/1 | status=200 | durationMs=1
users request | id=189d219d-4c58-4d54-a22d-11035d500726 | GET /users/1 | status=200 | durationMs=1
users request | id=27e8a4f4-d12e-4d49-8d75-be0b08931daf | GET /users/1 | status=200 | durationMs=0
users request | id=414b8ebc-f125-44e1-ad67-98253ab6f8c0 | GET /users/1 | status=200 | durationMs=0
users request | id=bde45f2a-32fd-4116-8735-d6dabd88eb72 | GET /users/1 | status=200 | durationMs=0
users request | id=51e61f0f-9189-40ea-8177-bce83cbb21fe | GET /users/1 | status=200 | durationMs=1
users request | id=50726ef6-7930-405c-9c79-0ffec10c272c | GET /users/1 | status=200 | durationMs=0
users request | id=b5ed1b12-34c0-4872-9405-5042c02f4214 | GET /users/1 | status=200 | durationMs=0
users request | id=3fbae526-7657-4675-b643-c08832f751bf | GET /users/1 | status=200 | durationMs=1
users request | id=c72e32c1-0676-491c-9122-16c32df94963 | GET /users/1 | status=200 | durationMs=1
users request | id=2b8aec8f-c4fc-4165-b770-18a97242d2b2 | GET /users/1 | status=200 | durationMs=0
users request | id=7b0819f9-b4c6-473c-a2d5-9e601e8c9cc0 | GET /users/1 | status=200 | durationMs=0
users request | id=901c9875-3961-4f52-8fce-a367e9757b6b | GET /users/1 | status=200 | durationMs=0
